,AirLine,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage
14,Eritrean Airlines,35,35,25,,50,45,45,50,45
172,Ernest [no longer operating],25,25,20,25,25,25,30,25,25
49,Ethiopian Airlines,35,35,35,30,35,35,35,35,35
50,Etihad Airways,35,35,35,35,35,35,40,40,35
173,Etihad Regional [no longer operating],35,35,20,30,35,35,40,35,30
174,Euro Atlantic,25,25,15,25,30,25,25,25,25
175,European Coastal Airlines [no longer operating],30,30,30,10,25,35,40,35,30
176,Eurowings,30,30,20,25,30,30,35,35,25
51,EVA Air,40,40,40,40,45,40,45,45,40
177,Far Eastern Air Transport [no longer operating],35,35,25,30,40,40,40,40,35
178,fastjet,30,35,15,30,30,35,35,30,25
179,Fiji Airways,35,35,30,35,40,35,40,40,35
52,Finnair,35,35,30,35,40,35,40,40,35
180,firefly,35,35,20,35,40,40,40,40,35
181,First Air,40,40,20,35,40,35,40,45,40
182,Flair Airlines,30,30,15,25,25,30,35,30,20
53,Fly Allways,40,30,40,,40,30,40,40,20
183,Fly Baghdad,15,25,10,10,25,25,25,30,30
54,Fly Tiwi,10,10,10,10,30,10,,10,10
184,Fly540,30,30,20,30,30,30,35,30,30
185,Flyadeal,30,30,15,25,25,35,35,30,20
186,FlyArystan,30,30,25,20,35,35,40,35,30
55,Flybe [no longer operating],35,35,15,30,35,35,40,35,30
187,flybmi [no longer operating],35,35,20,30,35,30,40,35,35
188,Flybondi,30,30,20,30,35,35,35,35,25
15,FLYBOSNIA,20,20,15,,15,25,25,20,25
189,flydubai,30,30,20,25,30,30,35,35,25
190,FlyEgypt,30,25,15,20,25,30,30,30,20
191,Flyme,35,35,20,25,40,35,35,40,25
192,Flynas,25,30,15,25,30,30,35,35,25
193,FLYONE,25,25,15,20,20,20,30,20,25
16,FlyPelican,35,40,20,,40,35,40,40,25
56,FlySafair,35,35,20,40,40,40,40,40,35
194,FMIAir,40,40,25,40,45,40,45,50,50
195,French bee,35,35,35,35,35,35,40,35,35
196,Frontier Airlines,25,25,15,25,30,30,35,30,20
197,Fuji Dream Airlines,40,40,25,40,40,40,40,40,30
198,Fuzhou Airlines,35,40,25,40,35,30,30,30,20
57,Garuda Indonesia,40,40,40,40,40,40,45,40,40
199,Georgian Airways,35,35,20,30,30,35,40,35,30
58,Germania Airlines [no longer operating],35,35,35,40,45,40,45,40,40
200,Germanwings [Merged into Eurowings],35,35,20,30,35,35,40,35,30
201,GLO Airlines (no longer operating),45,45,25,50,50,50,50,50,45
202,GoAir,30,30,20,30,30,30,35,35,25
59,GOL Airlines,30,30,25,30,35,35,40,40,25
203,Golden Myanmar Airlines,35,40,20,40,40,40,40,40,35
204,Grand China Air,35,35,25,35,40,40,40,40,40
17,Great Dane,40,40,25,,45,45,45,45,40
18,Groupe Transair,35,35,25,,45,30,40,45,40
205,Gulf Air,35,35,30,35,35,35,35,35,35
60,Gum Air,40,40,50,50,40,,,,
206,GX Airlines,40,40,25,10,30,30,40,35,30
61,Hainan Airlines,40,35,35,35,40,40,40,40,35
62,Hawaiian Airlines,40,35,35,35,40,35,40,40,35
207,Hebei Airlines,35,35,25,20,35,35,40,40,35
208,Helvetic Airways,35,35,20,35,40,40,45,40,35
209,Himalaya Airlines,25,25,25,20,25,25,30,30,30
210,HK Express,30,30,15,20,30,35,35,35,25
211,Hong Kong Airlines,35,35,30,30,35,40,40,35,30
63,Hongtu Airlines,40,40,,40,50,40,,,
64,HOP!,35,35,20,30,40,35,40,40,35
19,Hunnu Air,30,35,25,,35,35,40,35,35
20,IBC Airways,30,40,40,,30,40,50,50,30
212,Iberia,30,30,30,30,30,30,35,35,30
213,Iberia Express,25,30,25,30,35,35,35,35,25
214,Iberojet [formerly Evelop],25,30,30,30,35,35,35,35,30
215,IBEX,35,35,25,40,40,35,40,40,30
65,Icelandair,35,35,35,35,35,35,40,35,30
66,IndiGo,35,35,20,35,35,40,40,40,30
216,InselAir,25,25,15,20,20,20,20,20,15
217,interCaribbean,20,25,15,20,20,20,25,20,15
67,Interjet,40,35,25,35,35,35,40,35,30
218,IrAero,35,35,20,30,35,35,40,30,30
219,Iran Aseman Airlines,30,30,15,35,35,35,35,35,30
220,IranAir,35,35,20,30,35,35,40,35,35
221,Iraqi Airways,35,35,25,30,30,35,30,30,30
222,Island Air [no longer operating],35,35,25,35,40,40,40,40,30
223,Israir,30,30,15,25,30,30,35,35,20
224,Izhavia,25,30,25,30,40,35,35,40,35
225,Jambojet,30,35,20,25,35,35,40,35,25
68,Japan Airlines (JAL),40,40,40,40,45,40,45,45,40
226,Jazeera Airways,25,25,15,20,25,30,35,30,25
227,JC Cambodia,35,35,20,30,30,35,40,35,25
228,Jeju Air,30,30,20,25,35,40,40,35,25
69,Jet Airways [no longer operating],35,35,30,35,35,35,40,40,35
70,Jet2.com,40,40,20,40,45,45,45,45,40
71,JetBlue,40,40,40,40,40,40,40,40,40
229,JETGO,35,35,20,40,35,35,40,35,30
230,JetSmart,30,30,20,30,35,35,40,35,25
231,Jetstar Airways - Australia & New Zealand,30,30,20,25,30,35,35,35,25
232,Jetstar Asia Airways - Singapore,30,30,20,25,30,35,35,35,25
233,Jetstar Japan,30,30,20,25,30,35,35,30,25
234,Jetstar Pacific Airlines - Vietnam,25,25,15,25,25,30,35,30,20
21,Jetways Airlines,30,30,30,,10,20,30,10,30
235,Jin Air,35,35,20,30,35,40,40,35,30
236,Jordan Aviation,20,20,15,20,25,25,20,20,20
23,Joy Air,30,30,10,,35,30,30,35,20
72,JSX,45,45,25,45,45,40,45,45,40
24,Jubba Airways,35,35,20,,30,35,30,35,35
237,Juneyao Airlines,35,35,20,30,35,40,40,35,30
238,Kalstar Aviation,30,30,15,20,30,35,35,35,30
239,Kam Air,30,30,15,25,30,30,30,35,30
240,Kan Airlines,35,35,25,35,40,40,40,40,35
22,Kenya [NOT Jet Airways of India],30,30,30,,10,20,30,10,30
241,Kenya Airways,35,35,30,30,35,35,35,35,30
242,Kish Air,30,35,15,30,40,35,35,35,40
73,KLM Royal Dutch Airlines,35,35,35,40,40,40,40,40,40
74,Korean Air,40,40,40,40,45,40,45,45,40
75,KrasAvia,40,40,,,50,40,40,40,40
76,Kulula,30,30,20,30,35,40,40,40,30
25,Kunming Airlines,30,35,25,,40,35,40,40,30
243,Kuwait Airways,35,35,30,30,30,35,35,30,30
77,La Compagnie,45,45,40,40,40,45,45,45,40
244,La Costena,25,25,15,20,30,25,35,40,25
245,LAM Mozambique,30,30,15,25,30,25,30,30,25
246,LAN Airlines (now LATAM Airlines),35,35,40,40,40,40,40,40,35
247,Lanmei Airlines,30,30,20,35,30,35,35,35,25
78,Lao Airlines,35,35,20,40,40,40,40,40,35
248,Lao Skyway,35,30,15,30,35,40,40,40,30
249,Laser Airlines,30,30,20,35,35,35,35,35,30
79,LATAM Airlines,30,30,35,35,35,35,40,40,30
250,Latin American Wings [no longer operating],20,25,15,10,20,25,25,25,25
251,Laudamotion,30,30,15,20,25,35,35,30,25
252,LCPeru,25,25,15,20,25,25,30,30,25
253,LEVEL,30,30,30,35,30,35,35,30,25
254,LIAT,30,30,15,20,25,25,35,30,20
255,Libyan Airlines,35,35,25,30,30,35,30,30,30
256,Link Airways,45,45,30,45,50,45,45,50,45
257,Lion Air,30,30,20,25,30,35,30,30,20
80,Loganair,40,40,20,40,40,35,45,40,35
26,Longjiang - LJ Air,40,40,10,,20,10,40,10,10
258,Loong Air,35,40,20,35,35,40,35,20,30
259,LOT Polish Airlines,35,35,25,30,35,35,40,35,30
260,Lucky Air,30,30,15,30,30,30,35,30,20
81,Lufthansa,35,35,35,35,40,35,40,40,35
82,Luxair,35,40,30,40,45,40,45,45,40
261,Magnicharters,40,40,25,40,45,45,45,45,40
83,Mahan Air,35,35,20,30,40,40,40,40,40
262,Malaysia Airlines,35,35,35,30,35,35,35,35,35
263,Maldivian,35,30,20,35,35,30,35,35,25
264,Malindo Air,40,35,30,30,30,35,35,35,30
265,Mandarin Airlines,40,40,25,40,40,40,40,40,35
84,Mango,35,35,25,30,35,40,40,40,30
266,Mann Yadanarpon Airlines,35,40,25,35,40,40,40,40,35
267,Manta Air,45,45,30,50,50,45,50,50,45
268,Mauritania Airlines,40,40,10,40,35,30,35,45,25
85,Maya Island Air,40,40,25,40,40,40,40,40,25
269,Mayair,40,35,25,35,35,35,40,40,35
270,MIAT Mongolian Airlines,35,35,30,35,40,35,40,35,35
86,Middle East Airlines,35,35,35,35,40,35,40,40,40
271,Mistral Air,30,25,15,30,30,30,30,30,20
87,Mokulele Airlines,40,40,25,40,45,45,45,45,20
88,Monacair,50,50,,,40,40,40,50,
89,Monarch [no longer operating],35,35,20,35,40,40,40,40,35
272,Montenegro Airlines,35,35,15,25,30,30,35,35,25
273,Myanmar Airways International,35,40,25,40,40,40,40,40,35
274,Myanmar National Airlines,40,40,25,40,40,40,40,40,35
27,MyWay Airlines,35,30,20,,30,35,40,35,35
275,Nam Air,30,30,15,25,35,35,35,40,35
276,Nature Air (no longer operating),15,15,10,10,10,10,10,10,10
277,Nauru Airlines,35,35,15,40,40,30,35,35,35
90,NEOS,30,35,35,35,40,35,40,35,35
278,Nepal Airlines,35,35,25,30,35,35,40,35,35
28,Nesma Airlines Egypt,35,35,35,,40,40,40,40,35
279,NewLeaf [no longer operating - merged into Flair Airlines],25,25,15,15,20,25,25,25,15
280,Nextjet [no longer operating],30,25,15,15,30,30,30,35,25
281,Niki [no longer operating],30,30,20,25,35,35,35,35,25
282,Nile Air,30,30,15,30,30,35,35,35,30
283,Nok Air,35,35,20,30,35,40,40,40,30
284,NokScoot,35,35,20,25,30,35,35,35,25
285,Nordica,35,35,20,30,35,35,40,40,30
286,Nordstar Airlines,35,35,25,30,40,40,40,40,35
287,Nordwind Airlines,35,30,15,20,35,30,35,35,25
91,Norwegian,35,35,30,35,35,40,40,35,30
288,Nouvel Air Tunise,25,25,15,20,30,30,30,30,25
289,NOVOAIR,35,35,25,40,35,35,40,40,35
290,Okay Airways,30,35,25,35,40,40,40,40,30
291,Olympic Air [NOT Olympus Airways],35,35,25,30,40,35,40,40,35
92,Oman Air,35,35,35,35,35,40,40,40,35
292,Onur Air,20,20,15,15,25,25,30,30,20
