,AirLine,country,totalScore,reviews,excellent,veryGood,average,poor,terrible,
249,flybmi [no longer operating], ,30,372,100,79,43,31,119,
250,Flybondi,argentina,30,783,200,188,76,49,270,
251,FLYBOSNIA, ,15,6,0,1,0,0,5,
252,flydubai,united arab emirates,30,4002,542,913,803,515,1229,
253,FlyEgypt,egypt,25,487,48,98,119,78,145,
254,Flyme, ,35,37,10,12,7,4,4,
255,Flynas,saudi arabia,30,443,44,110,126,46,117,
256,FLYONE,moldova,15,246,16,16,10,13,191,
257,FlyPelican,australia,40,22,9,8,1,0,4,
258,FlySafair,south africa,40,999,453,310,91,39,106,
259,FMIAir,myanmar,40,9,3,4,2,0,0,
260,French bee,france,35,2227,745,573,124,111,677,
261,Frontier Airlines, ,25,18070,2407,2780,2303,1975,8609,
262,Fuji Dream Airlines,japan,40,95,29,53,10,2,1,
263,Fuzhou Airlines,china,30,5,0,1,3,0,1,
264,Garuda Indonesia,indonesia,40,8036,3876,2712,712,299,437,
265,Georgian Airways,georgia,30,515,120,133,81,43,138,
266,Germania Airlines [no longer operating],germany,40,2539,1292,716,225,99,207,
267,Germanwings [Merged into Eurowings],germany,35,461,92,176,97,42,54,
268,GLO Airlines (no longer operating), ,50,8,7,1,0,0,0,
269,GoAir,india,30,1498,252,370,265,109,502,
270,GOL Airlines,brazil,35,17174,3521,6396,5042,1286,930,
271,Golden Myanmar Airlines,myanmar,40,58,21,25,6,2,4,
272,Grand China Air,china,45,10,5,3,2,0,0,
273,Great Dane,denmark,40,10,6,2,1,0,1,
274,Groupe Transair,senegal,40,12,3,7,0,1,1,
275,Gulf Air,bahrain,30,1549,362,413,288,133,353,
276,Gum Air,suriname,40,2,0,2,0,0,0,
277,GX Airlines,china,30,5,2,0,0,3,0,
278,Hainan Airlines,china,35,1406,515,405,201,99,186,
279,Hawaiian Airlines, ,40,7771,3202,2127,1089,566,787,
280,Hebei Airlines,china,35,11,1,4,4,1,1,
281,Helvetic Airways,switzerland,40,267,101,108,32,18,8,
282,Himalaya Airlines,nepal,20,13,2,0,1,1,9,
283,HK Express,china,30,1427,192,534,331,110,260,
284,Hong Kong Airlines,china,35,1723,346,651,387,120,219,
285,Hongtu Airlines,china,50,1,1,0,0,0,0,
286,HOP!,france,35,1500,338,647,203,116,196,
287,Hunnu Air,mongolia,40,17,5,10,1,1,0,
288,IBC Airways, ,40,1,0,1,0,0,0,
289,Iberia,spain,30,20879,3721,5614,3916,2575,5055,
290,Iberia Express,spain,30,3253,632,977,692,379,573,
291,Iberojet [formerly Evelop],spain,30,1434,300,354,268,156,356,
292,IBEX, ,40,19,3,11,5,0,0,
293,Icelandair,iceland,35,8016,2312,2295,1303,800,1306,
294,IndiGo,india,35,8068,2434,2987,1247,437,963,
295,InselAir, ,15,286,13,21,22,24,206,
296,interCaribbean, ,20,161,12,16,11,16,106,
297,Interjet,mexico,35,6841,2092,1777,796,437,1739,
298,IrAero,russia,30,41,9,7,11,4,10,
299,Iran Aseman Airlines, ,35,94,10,27,49,5,3,
300,IranAir, ,35,192,50,70,46,14,12,
301,Iraqi Airways,iraq,30,82,15,23,18,8,18,
302,Island Air [no longer operating], ,35,156,50,48,17,10,31,
303,Israir,israel,30,445,88,96,83,61,117,
304,Izhavia,russia,35,4,1,0,3,0,0,
305,Jambojet,kenya,30,207,49,58,39,16,45,
306,Japan Airlines (JAL), ,45,9147,4897,3005,727,229,290,
307,Jazeera Airways,kuwait,25,257,16,71,24,16,130,
308,JC Cambodia,cambodia,25,77,17,11,2,3,44,
309,Jeju Air,korea,35,855,153,311,237,57,97,
310,Jet Airways [no longer operating],india,35,12104,4084,3700,2030,897,1393,
311,Jet2.com, ,45,32058,19892,7871,1882,834,1582,
312,JetBlue, ,40,18727,9520,4408,1398,828,2577,
313,JETGO,australia,30,104,43,15,4,8,34,
314,JetSmart,chile,30,885,231,203,78,43,330,
315,Jetstar Airways - Australia & New Zealand,australia,30,12605,2083,3701,2710,1391,2720,
316,Jetstar Asia Airways - Singapore,singapore,30,1901,288,644,462,166,341,
317,Jetstar Japan, ,30,1140,136,323,268,98,315,
318,Jetstar Pacific Airlines - Vietnam, ,25,1119,135,230,207,127,420,
319,Jetways Airlines, Kenya [NOT Jet Airways of India],kenya,20,5,0,1,1,1,2
320,Jetways Airlines, Kenya [NOT Jet Airways of India],kenya,20,5,0,1,1,1,2
321,Jin Air,korea,40,232,57,113,35,9,18,
322,Jordan Aviation,jordan,15,82,3,6,6,10,57,
323,Joy Air,china,30,2,0,0,2,0,0,
324,JSX, ,40,178,110,16,5,5,43,
325,Jubba Airways,kenya,30,10,2,3,1,1,3,
326,Juneyao Airlines,china,35,230,43,90,56,16,25,
327,Kalstar Aviation,indonesia,35,20,2,11,2,1,4,
328,Kam Air,afghanistan,30,23,3,7,5,2,6,
329,Kan Airlines,thailand,35,51,19,11,5,0,16,
330,Kenya Airways,kenya,30,2893,580,829,524,326,634,
331,Kish Air, ,35,43,7,15,14,4,3,
332,KLM Royal Dutch Airlines,netherlands,40,31548,13158,10088,3526,1592,3191,
333,Korean Air,korea,45,5208,2684,1710,453,157,204,
334,KrasAvia,russia,40,1,0,1,0,0,0,
335,Kulula,south africa,35,1193,291,392,221,96,194,
336,Kunming Airlines,china,35,5,1,3,0,0,1,
337,Kuwait Airways,kuwait,30,1323,269,401,221,131,301,
338,La Compagnie,france,40,490,246,128,32,19,66,
339,La Costena,nicaragua,30,16,3,5,1,1,6,
340,LAM Mozambique,mozambique,25,130,10,31,35,23,31,
341,LAN Airlines (now LATAM Airlines),chile,40,3356,1296,1359,450,135,116,
342,Lanmei Airlines,cambodia,30,143,35,29,16,11,52,
343,Lao Airlines,laos,40,449,133,207,88,5,16,
344,Lao Skyway,laos,40,52,19,17,8,2,6,
345,Laser Airlines,venezuela,35,139,31,51,38,7,12,
