,AirLine,country,totalScore,reviews,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage,excellent,veryGood,average,poor,terrible
153, Blue Air,oman,30,3555,30,30,20,30,35,35,35,35,30,851,899,445,252,1110
154, Blue Islands Air,united kingdom,30,120,35,35,20,30,35,30,35,35,25,32,27,13,7,42
155, Blue Panorama Airlines,italy,25,3978,25,25,20,25,25,25,30,25,25,355,695,637,482,1809
156, Boliviana de Aviacion,bolivia,35,439,35,35,20,35,35,35,35,35,30,72,149,109,37,72
157, Borajet [no longer operating],turkey,35,33,40,40,20,30,40,35,40,35,35,10,9,6,6,2
158, Boutique Air,united states,25,282,30,35,15,25,30,30,35,35,25,59,29,9,21,164
159, BRA (Braathens Regional Airways AB),sweden,35,255,35,35,20,30,40,35,40,40,35,71,102,44,14,24
160, British Airways,united kingdom,35,55789,35,35,30,30,35,35,40,40,30,14818,15380,11024,6527,8044
161, Brussels Airlines,belgium,35,7744,35,35,25,30,35,35,40,35,30,1661,2703,1324,677,1380
162, Buddha Air,nepal,35,198,35,35,20,30,35,35,35,30,25,45,70,42,17,24
163, Bulgaria Air,bulgaria,30,951,30,30,20,30,35,35,35,35,30,211,262,180,87,211
164, Buta Airways,azerbaijan,35,158,40,40,20,35,35,35,40,35,30,41,51,18,5,43
165, Cabo Verde Airlines,cape verde,25,644,30,30,20,25,30,30,30,30,30,77,119,88,65,295
166, Calafia Airlines,mexico,30,139,35,35,20,30,35,35,40,40,25,51,19,10,8,51
167, CalmAir International,canada,35,25,35,35,20,20,40,25,35,40,30,4,11,3,3,4
168, Cambodia Angkor Air,cambodia,25,910,30,30,15,25,30,30,35,30,25,127,213,141,80,349
169, Canadian North,canada,40,69,35,35,25,35,45,40,40,40,35,26,20,15,4,4
170, Canaryfly,spain,35,212,35,35,25,40,35,40,40,40,30,86,36,14,20,56
171, Cape Air,united states,35,327,30,30,20,30,35,35,35,35,15,132,59,21,16,99
172, Caribbean Airlines,republic of Trinidad and Tobago,35,849,35,35,25,35,35,35,40,40,35,219,262,140,46,182
173, Caspian Airlines,iran,30,38,30,30,15,25,35,35,35,35,30,6,8,12,5,7
174, Cathay Dragon (Dragonair),china,40,1711,35,35,35,35,40,35,40,40,35,435,703,385,93,95
175, Cathay Pacific,china,40,16373,40,40,40,40,40,40,40,40,40,6186,5572,2516,959,1141
176, Cayman Airways,united kingdom,35,344,35,35,20,30,35,35,40,35,35,126,70,32,27,89
177, Cebu Pacific Air,philiphines,30,3692,30,30,20,25,30,35,35,30,25,485,996,888,441,882
178, CemAir,south africa,25,240,30,30,20,35,35,30,35,35,30,73,34,4,5,124
179, Central Mountain Air,canada,30,58,35,30,20,30,35,35,40,40,30,13,20,5,4,16
180, Chair Airlines,switzerland,30,111,30,30,20,30,30,35,35,30,30,32,20,12,5,42
181, Cham Wings,syrian arab republic,45,12,40,40,25,50,50,40,40,45,40,8,3,0,0,1
182, Chengdu Airlines,china,35,12,35,35,25,35,35,35,40,40,35,3,4,3,0,2
183, China Airlines,taiwan,40,4102,40,40,35,35,40,40,40,40,35,1383,1643,655,203,218
184, China Eastern Airlines,china,30,5052,35,30,25,30,30,35,35,30,30,720,1427,1236,627,1042
185, China Express Airlines,china,45,4,40,45,35,,40,50,40,45,35,2,2,0,0,0
186, China Southern Airlines,china,35,4925,35,35,30,35,35,40,40,35,35,1123,1727,888,427,760
187, China United Airlines,china,30,29,30,35,20,25,30,30,35,35,25,6,6,9,4,4
188, Chongqing Airlines,china,30,8,25,30,20,,30,30,35,25,30,1,1,3,2,1
189, Cinnamon Air,sri lanka,45,28,40,40,35,50,45,40,45,45,30,22,3,1,0,2
190, Citilink,indonesia,40,1096,35,35,25,35,40,40,40,40,30,316,494,172,27,87
191, CityJet,ireland,35,418,35,35,20,35,40,35,40,40,35,141,122,69,39,47
192, Citywing [no longer operating],isle of man,35,11,40,40,25,,40,40,40,40,10,1,8,0,0,2
193, CM Airlines,honduras,30,39,30,30,20,40,40,35,35,40,25,8,12,7,3,9
194, Cobalt [no longer operating],cyprus,35,504,35,35,20,35,40,40,40,40,30,180,159,72,25,68
195, Condor,germany,30,8353,30,30,25,25,30,30,35,35,30,1470,1970,1639,1174,2100
196, Contour Airlines,united states,35,52,45,40,25,40,35,35,40,35,35,28,1,3,3,17
197, Copa Airlines,panama,35,12755,35,35,35,35,40,35,40,40,35,4209,4186,2115,891,1355
198, Corendon Airlines,turkey,30,2785,30,30,20,25,30,35,35,35,25,479,704,493,267,844
199, Corsair,france,30,2154,30,30,30,30,35,35,40,35,30,311,672,363,271,537
200, Croatia Airlines,croatia,35,1098,35,35,20,30,35,35,40,35,35,259,353,205,108,173
201, Cubana de Aviacion,cuba,25,917,30,30,15,25,25,30,30,30,25,73,199,194,156,295
202, Cyprus Airways,cyprus,30,58,30,35,20,25,35,35,40,40,25,19,10,8,4,17
203, Czech Airlines,czech republic,30,2492,30,30,20,25,30,30,35,30,25,374,565,500,366,687
204, Daallo Airlines,united arab emirates,45,3,30,30,10,30,30,30,,,,2,0,1,0,0
205, Dalian Airlines,china,40,5,35,35,20,,35,45,40,35,30,1,3,1,0,0
206, DAT Danish Air Transport,denmark,35,400,30,30,20,30,40,35,40,40,35,103,143,70,30,54
207, Delta Air Lines,united states,40,59864,35,35,40,40,40,35,40,40,35,24767,18395,7632,3672,5399
208, Denver Air Connection,united states,35,25,40,40,25,50,40,40,45,45,45,13,2,0,2,8
209, Dniproavia [no longer operating - merged into Windrose Airlines],ukraine,30,20,30,30,15,25,30,30,35,35,25,3,5,7,3,2
210, Donghai Airlines,china,25,11,35,35,15,35,35,35,40,30,30,1,2,4,0,4
211, Druk Air,bhutan,40,317,40,40,20,40,40,35,40,40,35,135,127,51,2,2
212, Dynamic International Airways,united states,15,95,20,20,10,15,20,15,20,20,20,3,6,5,6,75
213, Eagle Air,uganda,40,16,40,40,25,50,40,40,40,40,35,7,4,4,0,1
214, Eastar Jet,korea,35,153,30,30,20,30,35,40,35,35,25,26,64,30,6,27
215, Eastern Airways,united kingdom,30,231,35,35,15,35,35,30,40,35,30,63,41,21,17,89
216, EasyFly,colombia,35,119,35,35,20,40,35,35,40,35,25,33,35,16,6,29
217, easyJet,switzerland,35,57342,30,30,20,30,35,40,40,35,30,14611,19439,9273,4162,9869
218, Edelweiss Air,switzerland,40,3340,35,35,35,40,40,40,45,40,40,1545,967,341,203,284
219, EGYPTAIR,egypt,35,4045,35,35,30,30,35,35,35,35,35,920,1238,866,367,655
220, EL AL Israel Airlines,israel,35,4528,35,35,30,35,35,35,40,40,35,1417,1234,763,463,651
221, Elite Airways,united states,35,169,35,35,20,35,40,40,40,40,35,72,24,12,9,52
222, Ellinair,greece,35,933,35,35,20,35,40,40,40,40,40,364,233,74,68,194
223, Emirates,united arab emirates,40,62452,40,40,45,40,40,40,45,45,40,35854,13873,5718,2787,4227
224, Enter Air,poland,35,2635,35,35,20,30,35,35,40,40,30,638,847,470,255,425
225, Equatorial Congo Airlines [no longer operating],congo,25,8,30,35,25,40,35,25,25,15,20,0,0,5,1,2
226, Eritrean Airlines,eritrea,40,2,35,35,25,,50,45,45,50,45,0,2,0,0,0
227, Ernest [no longer operating],italy,20,432,25,25,20,25,25,25,30,25,25,59,52,40,26,255
228, Ethiopian Airlines,ethiopia,35,5794,35,35,35,30,35,35,35,35,35,1291,1887,1104,496,1016
229, Etihad Airways,united arab emirates,35,16968,35,35,35,35,35,35,40,40,35,5226,4085,2718,1573,3366
230, Etihad Regional [no longer operating],switzerland,35,65,35,35,20,30,35,35,40,35,30,22,14,13,5,11
231, Euro Atlantic,portugal,25,143,25,25,15,25,30,25,25,25,25,17,25,27,21,53
232, European Coastal Airlines [no longer operating],croatia,25,25,30,30,30,10,25,35,40,35,30,6,2,2,1,14
233, Eurowings,germany,30,10087,30,30,20,25,30,30,35,35,25,1492,2466,1756,1074,3302
234, EVA Air,taiwan,45,6842,40,40,40,40,45,40,45,45,40,3659,2147,546,216,274
235, Far Eastern Air Transport [no longer operating],taiwan,45,15,35,35,25,30,40,40,40,40,35,7,5,3,0,0
236, fastjet,south africa,30,268,30,35,15,30,30,35,35,30,25,48,78,34,18,90
237, Fiji Airways,fiji,35,2580,35,35,30,35,40,35,40,40,35,728,694,460,260,438
238, Finnair,finland,35,7776,35,35,30,35,40,35,40,40,35,2522,2748,1173,485,848
239, firefly,malaysia,35,243,35,35,20,35,40,40,40,40,35,58,108,32,5,40
240, First Air,canada,40,52,40,40,20,35,40,35,40,45,40,22,18,7,3,2
241, Flair Airlines,canada,25,4102,30,30,15,25,25,30,35,30,20,830,494,244,282,2270
242, Fly Allways,suriname,30,3,40,30,40,,40,30,40,40,20,0,1,1,1,0
243, Fly Baghdad,iraq,20,6,15,25,10,10,25,25,25,30,30,0,1,0,2,3
244, Fly Tiwi,australia,20,1,10,10,10,10,30,10,,10,10,0,0,0,1,0
245, Fly540,kenya,25,174,30,30,20,30,30,30,35,30,30,32,31,24,15,72
246, Flyadeal,saudi arabia,20,131,30,30,15,25,25,35,35,30,20,13,15,11,4,89
247, FlyArystan,kazakhstan,25,120,30,30,25,20,35,35,40,35,30,40,3,5,7,67
248, Flybe [no longer operating],united kingdom,35,8128,35,35,15,30,35,35,40,35,30,2342,2229,1038,587,1932
249, flybmi [no longer operating],united kingdom,30,372,35,35,20,30,35,30,40,35,35,100,79,43,31,119
250, Flybondi,argentina,30,783,30,30,20,30,35,35,35,35,25,200,188,76,49,270
251, FLYBOSNIA,bosna i Hercegovina,15,6,20,20,15,,15,25,25,20,25,0,1,0,0,5
252, flydubai,united arab emirates,30,4002,30,30,20,25,30,30,35,35,25,542,913,803,515,1229
253, FlyEgypt,egypt,25,487,30,25,15,20,25,30,30,30,20,48,98,119,78,145
254, Flyme,maldives,35,37,35,35,20,25,40,35,35,40,25,10,12,7,4,4
